run_id,environment,seed,algorithm,learning_rate,steps,batch_size,buffer_size,epochs,num_agents,total_time,average_cpu,average_ram,early_reward_mean,early_reward_mean_step,final_reward_mean,final_reward_mean_step,best_reward,best_reward_step,p_loss_mean,p_loss_mean_step,v_loss_mean,v_loss_mean_step,entropy_mean,entropy_mean_step,step_interval,threshold_value,steps_to_threshold,time_to_threshold,threshold_version,run_reached_threshold
R_AK_3DBall_2119,3DBall,2119,ppo,0.0002647661900952,500000,168,31658,3.0,12.0,213,28.3,83.2,1.1834,12000,98.9817,442000,100.0,336000,0.062,36000,0.2664,36000,1.4208,12000,480000,2.5657600000000005,144000.0,58.5,2025-11-21_09-33,1
R_AK_3DBall_2120,3DBall,2120,ppo,0.0003517918004969,500000,169,31834,3.0,12.0,218,36.5,83.1,1.1038,12000,100.0,442000,100.0,276000,0.0609,36000,0.1906,36000,1.4163,12000,480000,2.5657600000000005,108000.0,43.6,2025-11-21_09-33,1
R_AK_3DBall_2121,3DBall,2121,ppo,0.0002987577912168,500000,175,32988,3.0,12.0,262,42.0,83.0,1.1265,12000,100.0,442000,100.0,276000,0.0609,36000,0.1744,36000,1.4122,12000,480000,2.5657600000000005,108000.0,52.4,2025-11-21_09-33,1
R_AK_3DBall_2122,3DBall,2122,ppo,0.0006108579701191,500000,56,10505,3.0,12.0,221,26.4,83.0,1.1474,12000,100.0,442000,100.0,132000,0.1068,12000,0.3511,12000,1.4074,12000,480000,2.5657600000000005,60000.0,22.1,2025-11-21_09-33,1
R_AK_3DBall_2123,3DBall,2123,ppo,0.0004073697800308,500000,140,26286,3.0,12.0,220,38.2,82.8,1.0585,12000,99.7033,442000,100.0,252000,0.0673,36000,0.2265,36000,1.4133,12000,480000,2.5657600000000005,96000.0,38.5,2025-11-21_09-33,1
R_AK_3DBall_2124,3DBall,2124,ppo,0.0003059170513987,500000,35,6658,3.0,12.0,233,25.9,83.0,1.2133,12000,100.0,442000,100.0,96000,0.1338,12000,1.0537,12000,1.3813,12000,480000,2.5657600000000005,48000.0,17.5,2025-11-21_09-33,1
R_AK_3DBall_2125,3DBall,2125,ppo,0.0002430393797697,500000,164,30924,3.0,12.0,214,27.4,83.1,1.1294,12000,98.271,442000,100.0,384000,0.0651,36000,0.442,36000,1.4183,12000,480000,2.5657600000000005,156000.0,64.1,2025-11-21_09-33,1
R_AK_3DBall_2126,3DBall,2126,ppo,0.0007062802284239,500000,133,25025,3.0,12.0,211,27.0,83.1,1.1199,12000,100.0,442000,100.0,240000,0.0674,36000,0.2708,36000,1.4151,12000,480000,2.5657600000000005,84000.0,31.6,2025-11-21_09-33,1
R_AK_3DBall_2127,3DBall,2127,ppo,5.618484327129745e-05,500000,90,16893,3.0,12.0,228,27.8,83.1,1.1165,12000,2.318,442000,2.4534,480000,0.0851,24000,0.4373,24000,1.4165,12000,480000,2.5657600000000005,,,2025-11-21_09-33,0
R_AK_3DBall_2128,3DBall,2128,ppo,0.0005229803032376,500000,75,14138,3.0,12.0,232,42.7,83.3,1.2336,12000,97.7796,442000,100.0,156000,0.0919,24000,0.8172,24000,1.3941,12000,480000,2.5657600000000005,60000.0,23.2,2025-11-21_09-33,1
R_AK_3DBall_2129,3DBall,2129,ppo,0.0006808967836083,500000,176,33036,3.0,12.0,224,39.6,83.1,1.1465,12000,98.4637,442000,100.0,240000,0.0587,36000,0.1799,36000,1.4119,12000,480000,2.5657600000000005,108000.0,44.7,2025-11-21_09-33,1
R_AK_3DBall_2130,3DBall,2130,ppo,0.0003147968205438,500000,119,22376,3.0,12.0,231,39.5,83.1,1.128,12000,100.0,442000,100.0,216000,0.0738,24000,0.2595,24000,1.4131,12000,480000,2.5657600000000005,84000.0,34.6,2025-11-21_09-33,1
R_AK_3DBall_2131,3DBall,2131,ppo,0.0006512806983864,500000,133,24954,3.0,12.0,211,27.0,83.5,1.1145,12000,100.0,442000,100.0,216000,0.0694,36000,0.2249,36000,1.4145,12000,480000,2.5657600000000005,84000.0,31.6,2025-11-21_09-33,1
R_AK_3DBall_2132,3DBall,2132,ppo,0.0002807394034627,500000,102,19185,3.0,12.0,214,28.5,83.9,1.1749,12000,100.0,442000,100.0,204000,0.0783,24000,0.2919,24000,1.4108,12000,480000,2.5657600000000005,84000.0,32.1,2025-11-21_09-33,1
R_AK_3DBall_2133,3DBall,2133,ppo,0.0001030896079207,500000,166,31232,3.0,12.0,215,30.5,84.2,1.159,12000,97.3103,442000,100.0,396000,0.0586,36000,0.4115,36000,1.4169,12000,480000,2.5657600000000005,168000.0,69.8,2025-11-21_09-33,1
R_AK_3DBall_2134,3DBall,2134,ppo,0.0004240715132033,500000,67,12647,3.0,12.0,222,32.9,84.4,1.1461,12000,100.0,442000,100.0,180000,0.0973,24000,0.3137,24000,1.4035,12000,480000,2.5657600000000005,72000.0,27.7,2025-11-21_09-33,1
R_AK_3DBall_2135,3DBall,2135,ppo,0.0003578952793,500000,143,26842,3.0,12.0,225,41.1,84.1,1.1177,12000,100.0,442000,100.0,216000,0.0678,36000,0.2422,36000,1.4114,12000,480000,2.5657600000000005,96000.0,39.3,2025-11-21_09-33,1
R_AK_3DBall_2136,3DBall,2136,ppo,0.0002417184643096,500000,85,15995,3.0,12.0,248,44.9,83.9,1.1939,12000,100.0,442000,100.0,156000,0.0854,24000,0.5332,24000,1.3985,12000,480000,2.5657600000000005,60000.0,24.8,2025-11-21_09-33,1
R_AK_3DBall_2137,3DBall,2137,ppo,0.0007642208240177,500000,166,31198,3.0,12.0,227,37.5,83.7,1.1344,12000,99.385,442000,100.0,240000,0.0631,36000,0.1679,36000,1.4169,12000,480000,2.5657600000000005,108000.0,45.3,2025-11-21_09-33,1
R_AK_3DBall_2138,3DBall,2138,ppo,8.139645006702269e-05,500000,152,28624,3.0,12.0,236,39.9,83.8,1.1595,12000,99.5277,442000,100.0,252000,0.0658,36000,0.2178,36000,1.4181,12000,480000,2.5657600000000005,96000.0,41.3,2025-11-21_09-33,1
