run_id,environment,seed,num_agents,algorithm,steps,batch_size,buffer_size,learning_rate,epochs,total_time,average_cpu,average_ram,reward_mean,reward_mean_step,early_reward_mean,early_reward_mean_step,final_reward_mean,final_reward_mean_step,best_reward,best_reward_step,step_interval,p_loss_mean,p_loss_mean_step,v_loss_mean,v_loss_mean_step,entropy_mean,entropy_mean_step,threshold_value,steps_to_threshold,time_to_threshold,threshold_version,run_reached_threshold,notes
R_AK_3DBall_2532,3DBall,2532,12.0,ppo,500000,72,13531,5.438349259790714e-05,3.0,252,47.6,84.4,-0.22763901755053995,12000,0.2707638152459538,12000,0.7173596335131767,442000,0.6270461975427244,144000,480000,0.14501258887852939,24000,0.44084906556884124,24000,0.564208688937813,12000,2.5657600000000005,60000,25.2,2025-11-21_09-33,,
R_AK_3DBall_2533,3DBall,2533,12.0,ppo,500000,142,26757,0.0005760058905559,3.0,237,45.3,84.3,-0.35807545583482825,12000,-0.790045312159205,12000,0.6802643346348445,442000,0.6270461975427244,204000,480000,-0.05580301576106518,36000,-0.5135697328101213,36000,0.35180499264030296,12000,2.5657600000000005,84000,35.5,2025-11-21_09-33,,
R_AK_3DBall_2534,3DBall,2534,12.0,ppo,500000,96,18176,0.0008380502293853,3.0,238,45.7,84.3,-0.273343577125882,12000,-0.17213550929295773,12000,0.6637206955179981,442000,0.6270461975427244,132000,480000,0.04816534692468236,24000,-0.6585188979115253,24000,-0.7261437660695587,12000,2.5657600000000005,60000,23.8,2025-11-21_09-33,,
R_AK_3DBall_2535,3DBall,2535,12.0,ppo,500000,123,23092,0.0006875386791696,3.0,216,35.1,84.5,-0.37053196300372504,12000,-0.7677852074596764,12000,0.7173596335131767,442000,0.6270461975427244,228000,480000,-0.028030644906653166,24000,-0.7007106736687414,24000,0.5004875800485553,12000,2.5657600000000005,96000,37.8,2025-11-21_09-33,,
R_AK_3DBall_2536,3DBall,2536,12.0,ppo,500000,87,16433,7.346013492774299e-05,3.0,227,34.3,85.0,-0.38687968960246194,12000,0.0650497442296136,12000,-0.6669496083548969,442000,-0.5371393900898946,468000,480000,0.07380138155952426,24000,0.36293038292043384,24000,0.5429683193080643,12000,2.5657600000000005,252000,113.4,2025-11-21_09-33,,
R_AK_3DBall_2537,3DBall,2537,12.0,ppo,500000,179,33642,0.0005172866094953,3.0,214,32.8,84.8,-0.37276538480665106,12000,-0.1260801202594486,12000,0.7173596335131767,442000,0.6270461975427244,300000,480000,-0.10707508503074888,36000,-0.6959470860832492,36000,0.6332398902345079,12000,2.5657600000000005,120000,48.1,2025-11-21_09-33,,
R_AK_3DBall_2538,3DBall,2538,12.0,ppo,500000,32,6141,0.0004928222498746,3.0,270,52.2,84.8,5.040335291507795,12000,7.080053083850275,12000,0.7173596335131767,442000,0.6270461975427244,84000,480000,0.45620556486258196,12000,2.625634486029204,12000,-3.1050651646016663,12000,2.5657600000000005,24000,6.8,2025-11-21_09-33,,
R_AK_3DBall_2539,3DBall,2539,12.0,ppo,500000,126,23745,0.0002029449287051,3.0,217,36.0,84.6,-0.35439146110835235,12000,-0.3425404487169414,12000,0.7173596335131767,442000,0.6270461975427244,252000,480000,-0.02945486905303321,24000,-0.40026439952662946,24000,0.6013793357898731,12000,2.5657600000000005,108000,43.4,2025-11-21_09-33,,
R_AK_3DBall_2540,3DBall,2540,12.0,ppo,500000,59,11161,0.0006803578522158,3.0,223,33.0,84.6,0.013846836769957193,12000,0.44116875466993744,12000,0.692335578967926,442000,0.6270461975427244,108000,480000,0.20269366680692352,12000,0.9804954877538801,12000,-0.1154831392142144,12000,2.5657600000000005,48000,16.7,2025-11-21_09-33,,
R_AK_3DBall_2541,3DBall,2541,12.0,ppo,500000,87,16314,0.0006840689178406,3.0,232,45.1,84.5,-0.26645911198078004,12000,-0.6626254024998303,12000,0.6765518248060114,442000,0.6270461975427244,132000,480000,0.08234672643780483,24000,-0.05762634962730159,24000,-0.6040116406984922,12000,2.5657600000000005,60000,23.2,2025-11-21_09-33,,
